,CMPNM_NM,JJINHBT_SALES_PRICE_RATE,OTSD_SALES_PRICE_RATE,ALL_SALES_PRICE_RATE,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM
14535,푸라닭제주영어교육도시점,1.2825000000000002,0.075,0.1575,서귀포시,대정읍,대정읍,한식,단품요리 전문
14536,푸라닭제주일도점,0.8633333333333333,0.005,0.055,제주시,이도2동,제주시 동지역,한식,단품요리 전문
14537,푸라닭제주터미널점,1.14,0.01,0.07666666666666667,제주시,용담1동,제주시 동지역,한식,단품요리 전문
14538,푸라닭제주표선점,0.64,0.04666666666666667,0.085,서귀포시,표선면,표선면,한식,단품요리 전문
14539,푸라닭한라대점,1.3642857142857143,0.014285714285714287,0.09571428571428572,제주시,노형동,제주시 동지역,한식,단품요리 전문
14540,푸르곤,0.5066666666666667,0.045000000000000005,0.07333333333333333,제주시,애월읍,애월읍,한식,가정식
14541,푸르릇,0.05333333333333334,0.0,0.005,제주시,연동,제주시 동지역,한식,단품요리 전문
14542,푸르릇서귀포점,0.0,0.0,0.0,서귀포시,천지동,서귀포시 동지역,한식,단품요리 전문
14543,푸른달 이레,0.01,0.0,0.0,제주시,한림읍,한림읍,한식,단품요리 전문
14544,푸른목장,0.05000000000000001,0.005,0.005,제주시,노형동,제주시 동지역,한식,가정식
14545,푸른바다찜탕,0.3,0.006666666666666667,0.023333333333333334,제주시,용담1동,제주시 동지역,한식,단품요리 전문
14546,푸른바다회포차,0.20166666666666666,0.0,0.011666666666666667,제주시,노형동,제주시 동지역,아시아음식,일식
14547,푸른바당,0.0025,0.0,0.0,서귀포시,안덕면,안덕면,한식,단품요리 전문
14548,푸른바당돼지,0.6616666666666666,0.005,0.04833333333333334,제주시,화북동,제주시 동지역,한식,가정식
14549,푸른밤의해안속초식당,0.525,0.13999999999999999,0.17166666666666666,제주시,노형동,제주시 동지역,한식,가정식
14550,푸른산,0.02666666666666667,0.0,0.0,제주시,삼도1동,제주시 동지역,한식,가정식
14551,푸른소금,0.1275,0.0,0.005,제주시,이도2동,제주시 동지역,한식,가정식
14552,푸른솔,0.18666666666666668,0.0,0.015,서귀포시,남원읍,남원읍,아시아음식,중식
14553,푸른솔맑은향,0.3333333333333333,0.01,0.02666666666666667,제주시,노형동,제주시 동지역,한식,가정식
14554,푸른정육식당,0.14,0.0,0.008333333333333333,제주시,오라동,제주시 동지역,한식,가정식
14555,푸른제주,0.01,0.0025,0.0,서귀포시,성산읍,성산읍,한식,가정식
14556,푸른초장,0.0,0.065,0.065,제주시,애월읍,애월읍,한식,가정식
14557,푸주막,0.01,0.0033333333333333335,0.005,서귀포시,성산읍,성산읍,한식,단품요리 전문
14558,푸주옥,10.76,0.07,0.7166666666666667,제주시,오라동,제주시 동지역,한식,가정식
14559,푸주옥노형점,10.006666666666668,0.11,0.715,제주시,노형동,제주시 동지역,한식,가정식
14560,푸주옥도남점,7.6066666666666665,0.055,0.5116666666666667,제주시,이도2동,제주시 동지역,한식,가정식
14561,푸주옥서귀포점,2.1416666666666666,0.08,0.205,서귀포시,대륜동,서귀포시 동지역,한식,가정식
14562,푸줏간쌀롱,0.15166666666666664,0.008333333333333333,0.018333333333333333,서귀포시,대정읍,대정읍,한식,가정식
14563,푸짐한돼지국밥,0.06,0.0,0.0025,제주시,화북동,제주시 동지역,한식,가정식
14564,푸짐한밥상,0.32916666666666666,0.004166666666666667,0.024999999999999998,제주시,일도1동,제주시 동지역,한식,가정식
14565,푸짐한소주방,0.05,0.0,0.0,제주시,구좌읍,구좌읍,한식,단품요리 전문
14566,푸짐한식당,0.12833333333333333,0.021666666666666667,0.03,서귀포시,성산읍,성산읍,한식,가정식
14567,풀가개비,0.013333333333333334,0.0033333333333333335,0.008333333333333333,서귀포시,성산읍,성산읍,한식,단품요리 전문
14568,풀룸,0.01,0.0,0.0,서귀포시,남원읍,남원읍,한식,단품요리 전문
14569,풀바셋제주아라DT점,13.653333333333334,0.19999999999999998,1.0016666666666667,제주시,아라동,제주시 동지역,음료,커피
14570,풀베개,0.7783333333333333,0.36000000000000004,0.3983333333333334,서귀포시,안덕면,안덕면,한식,단품요리 전문
14571,풀왓,0.46166666666666667,0.03333333333333333,0.05833333333333333,제주시,조천읍,조천읍,양식,양식
14572,풀입채진고복식당제주공항점,2.1333333333333333,1.6900000000000002,1.7750000000000001,제주시,용담2동,제주시 동지역,한식,가정식
14573,풀향기,1.166,0.004,0.068,제주시,외도동,제주시 동지역,한식,단품요리 전문
14574,풍경채,0.23666666666666666,0.01,0.024999999999999998,제주시,이호동,제주시 동지역,한식,가정식
14575,풍광양꼬치,0.35666666666666663,0.006666666666666667,0.03166666666666667,서귀포시,정방동,서귀포시 동지역,아시아음식,중식
14576,풍년,0.8783333333333334,0.013333333333333334,0.06666666666666667,제주시,삼양동,제주시 동지역,한식,가정식
14577,풍년내장탕해장국,0.5233333333333333,0.03333333333333333,0.07,제주시,연동,제주시 동지역,한식,해장국
